egoid,stress,happy,health,trust,sleep_quality,sedentary,exercise_alone,exercise_others,beer,wine,caffeine,tobacco,wave
25197,2.5,2.0,0.0,3.1666667,7.0,2.090909,1.0,1.0,1.0,1.0,3.0,3.0,4
35872,0.30000001,3.0,0.0,3.3333333,7.0,3.1818182,0.0,0.0,3.0,3.0,3.0,3.0,4
23270,1.7,0.0,2.0,3.0,4.0,1.3636364,4.0,1.0,3.0,3.0,4.0,3.0,4
92716,1.2,2.0,2.0,3.8333333,4.0,2.0,4.0,4.0,4.0,1.0,4.0,3.0,4
70125,2.5,0.0,2.0,2.3333333,8.0,1.9090909,4.0,1.0,1.0,1.0,2.0,3.0,4
67192,3.3,1.0,1.0,2.0,8.0,3.5454545,1.0,1.0,3.0,1.0,3.0,3.0,4
12029,2.0,0.0,2.0,2.8333333,,3.7272727,0.0,0.0,3.0,3.0,4.0,3.0,4
70745,1.5,2.0,2.0,3.3333333,,2.909091,0.0,3.0,2.0,1.0,3.0,3.0,4
93856,2.2,1.0,2.0,2.0,,2.7272727,0.0,3.0,2.0,2.0,2.0,3.0,4
97448,1.6,2.0,2.0,4.0,4.0,2.5454545,4.0,3.0,1.0,1.0,0.0,3.0,4
89165,1.7,1.0,1.0,3.3333333,,3.0,1.0,1.0,1.0,4.0,4.0,3.0,4
97280,1.9,0.0,2.0,3.0,5.0,3.5454545,0.0,0.0,1.0,1.0,1.0,3.0,4
66156,2.2,0.0,2.0,3.5,,2.2727273,0.0,1.0,1.0,1.0,1.0,3.0,4
67177,2.5,1.0,3.0,2.6666667,4.0,2.909091,3.0,3.0,3.0,3.0,1.0,3.0,4
22540,2.8,1.0,3.0,3.1666667,,2.3636363,3.0,3.0,3.0,2.0,3.0,3.0,4
87328,0.69999999,3.0,2.0,3.0,7.0,4.2727275,0.0,2.0,3.0,3.0,3.0,3.0,4
49497,2.8,1.0,1.0,2.5,6.0,2.4545455,4.0,3.0,1.0,1.0,0.0,3.0,4
41952,1.3,2.0,2.0,3.6666667,,4.090909,4.0,2.0,0.0,1.0,4.0,3.0,4
17183,1.3,2.0,2.0,3.6666667,,2.909091,0.0,3.0,0.0,0.0,3.0,3.0,4
22408,1.0,3.0,0.0,4.0,3.0,2.3636363,4.0,1.0,2.0,3.0,3.0,3.0,4
54435,1.6,2.0,2.0,3.3333333,,2.1818182,4.0,3.0,3.0,0.0,1.0,3.0,4
38554,2.5999999,0.0,2.0,2.8333333,,2.4545455,1.0,1.0,3.0,2.0,3.0,3.0,4
